date,source,SSH (m)
02/2002,barystatic,0.134727
02/2002,steric,0.336386
02/2002,total,0.694684
02/2002,barystatic,0.310472
02/2002,steric,0.384212
03/2002,total,0.551888
03/2002,barystatic,0.209370
03/2002,steric,0.342518
03/2002,total,0.694982
03/2002,barystatic,0.310804
03/2002,steric,0.384178
04/2002,total,0.608361
04/2002,barystatic,0.251058
04/2002,steric,0.357303
04/2002,total,0.695280
04/2002,barystatic,0.311137
04/2002,steric,0.384143
05/2002,total,0.686829
05/2002,barystatic,0.314327
05/2002,steric,0.372502
05/2002,total,0.695577
05/2002,barystatic,0.311469
05/2002,steric,0.384108
06/2002,total,0.779095
06/2002,barystatic,0.389385
06/2002,steric,0.389710
06/2002,total,0.695875
06/2002,barystatic,0.311802
06/2002,steric,0.384073
07/2002,total,0.786937
07/2002,barystatic,0.376687
07/2002,steric,0.410250
07/2002,total,0.696173
07/2002,barystatic,0.312134
07/2002,steric,0.384039
08/2002,total,0.818426
08/2002,barystatic,0.394435
08/2002,steric,0.423991
08/2002,total,0.696470
08/2002,barystatic,0.312466
08/2002,steric,0.384004
09/2002,total,0.739371
09/2002,barystatic,0.303665
09/2002,steric,0.435706
09/2002,total,0.696768
09/2002,barystatic,0.312799
09/2002,steric,0.383969
10/2002,total,0.713215
10/2002,barystatic,0.274844
10/2002,steric,0.438371
10/2002,total,0.697066
10/2002,barystatic,0.313131
10/2002,steric,0.383934
11/2002,total,0.687533
11/2002,barystatic,0.273754
11/2002,steric,0.413779
11/2002,total,0.697363
11/2002,barystatic,0.313464
11/2002,steric,0.383900
12/2002,total,0.652146
12/2002,barystatic,0.269279
12/2002,steric,0.382867
12/2002,total,0.697661
12/2002,barystatic,0.313796
12/2002,steric,0.383865
01/2003,total,0.604400
01/2003,barystatic,0.262484
01/2003,steric,0.341916
01/2003,total,0.697959
01/2003,barystatic,0.314128
01/2003,steric,0.383830
02/2003,total,0.532105
02/2003,barystatic,0.204397
02/2003,steric,0.327708
02/2003,total,0.698256
02/2003,barystatic,0.314461
02/2003,steric,0.383795
03/2003,total,0.510703
03/2003,barystatic,0.178610
03/2003,steric,0.332093
03/2003,total,0.698554
03/2003,barystatic,0.314793
03/2003,steric,0.383761
04/2003,total,0.559304
04/2003,barystatic,0.208736
04/2003,steric,0.350568
04/2003,total,0.698852
04/2003,barystatic,0.315126
04/2003,steric,0.383726
05/2003,total,0.718161
05/2003,barystatic,0.348875
05/2003,steric,0.369286
05/2003,total,0.699149
05/2003,barystatic,0.315458
05/2003,steric,0.383691
06/2003,total,0.781244
06/2003,barystatic,0.397506
06/2003,steric,0.383738
06/2003,total,0.699447
06/2003,barystatic,0.315791
06/2003,steric,0.383656
07/2003,total,0.736027
07/2003,barystatic,0.330516
07/2003,steric,0.405510
07/2003,total,0.699745
07/2003,barystatic,0.316123
07/2003,steric,0.383622
08/2003,total,0.803340
08/2003,barystatic,0.371953
08/2003,steric,0.431387
08/2003,total,0.700042
08/2003,barystatic,0.316455
08/2003,steric,0.383587
09/2003,total,0.787799
09/2003,barystatic,0.342982
09/2003,steric,0.444817
09/2003,total,0.700340
09/2003,barystatic,0.316788
09/2003,steric,0.383552
10/2003,total,0.736695
10/2003,barystatic,0.290536
10/2003,steric,0.446159
10/2003,total,0.700638
10/2003,barystatic,0.317120
10/2003,steric,0.383518
11/2003,total,0.712199
11/2003,barystatic,0.299213
11/2003,steric,0.412987
11/2003,total,0.700935
11/2003,barystatic,0.317453
11/2003,steric,0.383483
12/2003,total,0.709194
12/2003,barystatic,0.330629
12/2003,steric,0.378565
12/2003,total,0.701233
12/2003,barystatic,0.317785
12/2003,steric,0.383448
01/2004,total,0.573666
01/2004,barystatic,0.230267
01/2004,steric,0.343399
01/2004,total,0.701531
01/2004,barystatic,0.318117
01/2004,steric,0.383413
02/2004,total,0.481097
02/2004,barystatic,0.157109
02/2004,steric,0.323989
02/2004,total,0.701828
02/2004,barystatic,0.318450
02/2004,steric,0.383379
03/2004,total,0.552905
03/2004,barystatic,0.217897
03/2004,steric,0.335008
03/2004,total,0.702126
03/2004,barystatic,0.318782
03/2004,steric,0.383344
04/2004,total,0.635225
04/2004,barystatic,0.283767
04/2004,steric,0.351458
04/2004,total,0.702424
04/2004,barystatic,0.319115
04/2004,steric,0.383309
05/2004,total,0.737266
05/2004,barystatic,0.367782
05/2004,steric,0.369484
05/2004,total,0.702721
05/2004,barystatic,0.319447
05/2004,steric,0.383274
06/2004,total,0.843743
06/2004,barystatic,0.457023
06/2004,steric,0.386720
06/2004,total,0.703019
06/2004,barystatic,0.319779
06/2004,steric,0.383240
07/2004,total,0.836774
07/2004,barystatic,0.430027
07/2004,steric,0.406747
07/2004,total,0.703317
07/2004,barystatic,0.320112
07/2004,steric,0.383205
08/2004,total,0.821462
08/2004,barystatic,0.392188
08/2004,steric,0.429274
08/2004,total,0.703614
08/2004,barystatic,0.320444
08/2004,steric,0.383170
09/2004,total,0.769187
09/2004,barystatic,0.326452
09/2004,steric,0.442735
09/2004,total,0.703912
09/2004,barystatic,0.320777
09/2004,steric,0.383135
10/2004,total,0.726623
10/2004,barystatic,0.283133
10/2004,steric,0.443490
10/2004,total,0.704210
10/2004,barystatic,0.321109
10/2004,steric,0.383101
11/2004,total,0.652822
11/2004,barystatic,0.248176
11/2004,steric,0.404646
11/2004,total,0.704507
11/2004,barystatic,0.321441
11/2004,steric,0.383066
12/2004,total,0.666626
12/2004,barystatic,0.293361
12/2004,steric,0.373265
12/2004,total,0.704805
12/2004,barystatic,0.321774
12/2004,steric,0.383031
01/2005,total,0.587229
01/2005,barystatic,0.248980
01/2005,steric,0.338250
01/2005,total,0.705103
01/2005,barystatic,0.322106
01/2005,steric,0.382996
02/2005,total,0.523665
02/2005,barystatic,0.203109
02/2005,steric,0.320556
02/2005,total,0.705400
02/2005,barystatic,0.322439
02/2005,steric,0.382962
03/2005,total,0.517616
03/2005,barystatic,0.180947
03/2005,steric,0.336669
03/2005,total,0.705698
03/2005,barystatic,0.322771
03/2005,steric,0.382927
04/2005,total,0.606480
04/2005,barystatic,0.254260
04/2005,steric,0.352220
04/2005,total,0.705996
04/2005,barystatic,0.323104
04/2005,steric,0.382892
05/2005,total,0.708549
05/2005,barystatic,0.341539
05/2005,steric,0.367010
05/2005,total,0.706293
05/2005,barystatic,0.323436
05/2005,steric,0.382857
06/2005,total,0.803153
06/2005,barystatic,0.417902
06/2005,steric,0.385251
06/2005,total,0.706591
06/2005,barystatic,0.323768
06/2005,steric,0.382823
07/2005,total,0.843697
07/2005,barystatic,0.442828
07/2005,steric,0.400869
07/2005,total,0.706889
07/2005,barystatic,0.324101
07/2005,steric,0.382788
08/2005,total,0.796584
08/2005,barystatic,0.377230
08/2005,steric,0.419354
08/2005,total,0.707186
08/2005,barystatic,0.324433
08/2005,steric,0.382753
09/2005,total,0.794001
09/2005,barystatic,0.363621
09/2005,steric,0.430380
09/2005,total,0.707484
09/2005,barystatic,0.324766
09/2005,steric,0.382718
10/2005,total,0.770802
10/2005,barystatic,0.342051
10/2005,steric,0.428750
10/2005,total,0.707782
10/2005,barystatic,0.325098
10/2005,steric,0.382684
11/2005,total,0.789228
11/2005,barystatic,0.383352
11/2005,steric,0.405876
11/2005,total,0.708079
11/2005,barystatic,0.325430
11/2005,steric,0.382649
12/2005,total,0.790169
12/2005,barystatic,0.420479
12/2005,steric,0.369690
12/2005,total,0.708377
12/2005,barystatic,0.325763
12/2005,steric,0.382614
01/2006,total,0.653417
01/2006,barystatic,0.314435
01/2006,steric,0.338982
01/2006,total,0.708675
01/2006,barystatic,0.326095
01/2006,steric,0.382579
02/2006,total,0.562370
02/2006,barystatic,0.233900
02/2006,steric,0.328469
02/2006,total,0.708972
02/2006,barystatic,0.326428
02/2006,steric,0.382545
03/2006,total,0.525781
03/2006,barystatic,0.187419
03/2006,steric,0.338362
03/2006,total,0.709270
03/2006,barystatic,0.326760
03/2006,steric,0.382510
04/2006,total,0.642459
04/2006,barystatic,0.295895
04/2006,steric,0.346564
04/2006,total,0.709568
04/2006,barystatic,0.327092
04/2006,steric,0.382475
05/2006,total,0.765401
05/2006,barystatic,0.402756
05/2006,steric,0.362645
05/2006,total,0.709865
05/2006,barystatic,0.327425
05/2006,steric,0.382441
06/2006,total,0.775382
06/2006,barystatic,0.394178
06/2006,steric,0.381203
06/2006,total,0.710163
06/2006,barystatic,0.327757
06/2006,steric,0.382406
07/2006,total,0.801992
