Date,Value,Type
2017-12-01,3.0868704524359996,Trend
2018-01-01,3.086131822288401,Trend
2018-02-01,3.085393192140802,Trend
2018-03-01,3.0847260423300678,Trend
2018-04-01,3.083987412182469,Trend
2018-05-01,3.083272608813825,Trend
2018-06-01,3.0825339786662265,Trend
2018-07-01,3.0818191752975825,Trend
2018-08-01,3.081080545149984,Trend
2018-09-01,3.080341915002385,Trend
2018-10-01,3.0796271116337413,Trend
2018-11-01,3.0788884814861426,Trend
2018-12-01,3.078173678117499,Trend
2019-01-01,3.0774350479699004,Trend
2019-02-01,3.0766964178223017,Trend
2019-03-01,3.0760292680115673,Trend
2019-04-01,3.0752906378639686,Trend
2019-05-01,3.0745758344953247,Trend
2019-06-01,3.073837204347726,Trend
2019-07-01,3.073122400979082,Trend
2019-08-01,3.0723837708314834,Trend
2019-09-01,3.0716451406838847,Trend
2019-10-01,3.070930337315241,Trend
2019-11-01,3.070191707167642,Trend
2019-12-01,3.069476903798998,Trend
2020-01-01,3.0687382736513995,Trend
2020-02-01,3.067999643503801,Trend
2020-03-01,3.067308666914112,Trend
2020-04-01,3.0665700367665134,Trend
2020-05-01,3.0658552333978695,Trend
2020-06-01,3.065116603250271,Trend
2020-07-01,3.064401799881627,Trend
2020-08-01,3.063663169734028,Trend
2020-09-01,3.0629245395864295,Trend
2020-10-01,3.0622097362177856,Trend
2020-11-01,3.061471106070187,Trend
2020-12-01,3.060756302701543,Trend
2021-01-01,3.0600176725539443,Trend
2021-02-01,3.0592790424063456,Trend
2021-03-01,3.0586118925956116,Trend
2021-04-01,3.0578732624480125,Trend
2021-05-01,3.057158459079369,Trend
2021-06-01,3.0564198289317703,Trend
2021-07-01,3.0557050255631264,Trend
2021-08-01,3.0549663954155277,Trend
2021-09-01,3.054227765267929,Trend
2021-10-01,3.053512961899285,Trend
2021-11-01,3.0527743317516864,Trend
2021-12-01,3.0520595283830425,Trend
2022-01-01,3.051320898235444,Trend
2022-02-01,3.050582268087845,Trend
2022-03-01,3.0499151182771107,Trend
2022-04-01,3.049176488129512,Trend
2022-05-01,3.0484616847608685,Trend
2022-06-01,3.04772305461327,Trend
2022-07-01,3.047008251244626,Trend
2022-08-01,3.0462696210970273,Trend
2022-09-01,3.0455309909494286,Trend
2022-10-01,3.0448161875807846,Trend
2022-11-01,3.044077557433186,Trend
2022-12-01,3.043362754064542,Trend
2023-01-01,3.0426241239169434,Trend
2023-02-01,3.0418854937693447,Trend
2023-03-01,3.0412183439586102,Trend
2023-04-01,3.0404797138110116,Trend
2023-05-01,3.0397649104423676,Trend
2023-06-01,3.039026280294769,Trend
2023-07-01,3.0383114769261255,Trend
2023-08-01,3.0375728467785263,Trend
2023-09-01,3.036834216630928,Trend
2023-10-01,3.036119413262284,Trend
2023-11-01,3.0353807831146855,Trend
2023-12-01,3.0346659797460416,Trend
2024-01-01,3.033927349598443,Trend
2024-02-01,3.0331887194508442,Trend
2024-03-01,3.032497742861155,Trend
2024-04-01,3.0317591127135564,Trend
2024-05-01,3.0310443093449124,Trend
2024-06-01,3.0303056791973138,Trend
2024-07-01,3.02959087582867,Trend
2024-08-01,3.028852245681071,Trend
2024-09-01,3.0281136155334725,Trend
2024-10-01,3.0273988121648285,Trend
2024-11-01,3.02666018201723,Trend
2024-12-01,3.0259453786485864,Trend
2025-01-01,3.0252067485009873,Trend
